Year,Program Area,Program Project,Sub-Program Project,Actuals,Annualized_CR,PresBud,PresBud_vs_Annualized_CR,Enacted,PresBud_vs_Enacted
2021,Science & Technology,Clean Air,Clean Air Allowance Trading Programs,7834.8,,5739,,7463,-1724
2021,Science & Technology,Clean Air,Atmospheric Protection Program,8044.4,,0,,7772,-7772
2021,Science & Technology,Clean Air,Federal Support for Air Quality Management,10878.2,,3712,,6039,-2327
2021,Science & Technology,Clean Air,Federal Vehicle and Fuels Standards and Certification,92789.2,,80932,,94790,-13858
2021,Science & Technology,Clean Air,"Subtotal, Clean Air",119546.6,,90383,,116064,-25681
2021,Science & Technology,Indoor Air and Radiation,Indoor Air: Radon Program,16.7,,0,,143,-143
2021,Science & Technology,Indoor Air and Radiation,Radiation: Protection,2794.7,,1047,,1781,-734
2021,Science & Technology,Indoor Air and Radiation,Radiation: Response Preparedness,2545,,4167,,3089,1078
2021,Science & Technology,Indoor Air and Radiation,Reduce Risks from Indoor Air,216.7,,0,,136,-136
2021,Science & Technology,Indoor Air and Radiation,"Subtotal, Indoor Air and Radiation",5573.1,,5214,,5149,65
2021,Science & Technology,Enforcement,Forensics Support,11534.7,,11723,,13592,-1869
2021,Science & Technology,Homeland Security,Homeland Security: Critical Infrastructure Protection,7957.5,,7732,,9053,-1321
2021,Science & Technology,Homeland Security,"Homeland Security: Preparedness, Response, and Recovery",20492.7,,25542,,23593,1949
2021,Science & Technology,Homeland Security,Homeland Security: Protection of EPA Personnel and Infrastructure,410,,500,,443,57
2021,Science & Technology,Homeland Security,"Subtotal, Homeland Security",28860.2,,33774,,33089,685
2021,Science & Technology,IT / Data Management / Security,IT / Data Management,3092.6,,2890,,3072,-182
2021,Science & Technology,Operations and Administration,Facilities Infrastructure and Operations,67856.9,,67908,,65372,2536
2021,Science & Technology,Pesticides Licensing,Pesticides: Protect Human Health from Pesticide Risk,3098.5,,2443,,3154,-711
2021,Science & Technology,Pesticides Licensing,Pesticides: Protect the Environment from Pesticide Risk,2415.8,,2616,,2327,289
2021,Science & Technology,Pesticides Licensing,Pesticides: Realize the Value of Pesticide Availability,354.6,,684,,405,279
2021,Science & Technology,Pesticides Licensing,"Subtotal, Pesticides Licensing",5868.9,,5743,,5886,-143
2021,Science & Technology,Research: Air and Energy,Research: Air and Energy,85895.8,,33543,,94496,-60953
2021,Science & Technology,Research: Safe and Sustainable Water Resources,Research: Safe and Sustainable Water Resources,100123.7,,78948,,110890,-31942
2021,Science & Technology,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,135083.1,,58597,,132477,-73880
2021,Science & Technology,Research: Chemical Safety and Sustainability,Health and Environmental Risk Assessment,37003.7,,24694,,37351,-12657
2021,Science & Technology,Research: Chemical Safety and Sustainability,Research: Chemical Safety and Sustainability,,,,,,
2021,Science & Technology,Research: Chemical Safety and Sustainability,Endocrine Disruptors,15230,,10775,,16021,-5246
2021,Science & Technology,Research: Chemical Safety and Sustainability,Computational Toxicology,22262.3,,18181,,21089,-2908
2021,Science & Technology,Research: Chemical Safety and Sustainability,Research: Chemical Safety and Sustainability (other activities),49811.9,,37996,,51807,-13811
2021,Science & Technology,Research: Chemical Safety and Sustainability,"Subtotal, Research: Chemical Safety and Sustainability",87304.2,,66952,,88917,-21965
2021,Science & Technology,Research: Chemical Safety and Sustainability,"Subtotal, Research: Chemical Safety and Sustainability",124307.9,,91646,,126268,-34622
2021,Science & Technology,Water: Human Health Protection,Drinking Water Programs,3227.6,,4364,,4094,270
2021,Science & Technology,Congressional Priorities,Water Quality Research and Support Grants,4092,,0,,6000,-6000
2021,Science & Technology,Congressional Priorities,"Subtotal, Congressional Priorities",4092,,0,,6000,-6000
2021,Science & Technology,,"Total, Science & Technology",695063.1,,484733,,716449,-231716
2021,Environmental Program & Management,Clean Air,Clean Air Allowance Trading Programs,15302.4,,13231,,13619,-388
2021,Environmental Program & Management,Clean Air,Atmospheric Protection Program,90985.1,,14512,,95436,-80924
2021,Environmental Program & Management,Clean Air,Federal Stationary Source Regulations,19279.9,,17877,,20093,-2216
2021,Environmental Program & Management,Clean Air,Federal Support for Air Quality Management,132513.9,,114095,,130588,-16493
2021,Environmental Program & Management,Clean Air,Stratospheric Ozone: Domestic Programs,5060.4,,4087,,4661,-574
2021,Environmental Program & Management,Clean Air,Stratospheric Ozone: Multilateral Fund,8326,,0,,8711,-8711
2021,Environmental Program & Management,Clean Air,"Subtotal, Clean Air",271467.7,,163802,,273108,-109306
2021,Environmental Program & Management,Indoor Air and Radiation,Indoor Air: Radon Pro,2642.6,,0,,3136,-3136
2021,Environmental Program & Management,Indoor Air and Radiation,Radiation: Protection,10880.5,,2470,,7992,-5522
2021,Environmental Program & Management,Indoor Air and Radiation,Radiation: Response Preparedness,2078.1,,2350,,2196,154
2021,Environmental Program & Management,Indoor Air and Radiation,Reduce Risks from Indoor Air,10931.6,,0,,11627,-11627
2021,Environmental Program & Management,Indoor Air and Radiation,"Subtotal, Indoor Air and Radiation",26532.8,,4820,,24951,-20131
2021,Environmental Program & Management,Brownfields,Brownfields,22939.3,,17816,,23647,-5831
2021,Environmental Program & Management,Compliance,Compliance Monitoring,100132.8,,95649,,101665,-6016
2021,Environmental Program & Management,Enforcement,Civil Enforcement,160202.2,,157820,,167615,-9795
2021,Environmental Program & Management,Enforcement,Criminal Enforcement,46342,,46627,,47635,-1008
2021,Environmental Program & Management,Enforcement,Environmental Justice,5033.5,,2729,,9554,-6825
2021,Environmental Program & Management,Enforcement,NEPA Implementation,13827.4,,17937,,15833,2104
2021,Environmental Program & Management,Enforcement,"Subtotal, Enforcement",225405.1,,225113,,240637,-15524
2021,Environmental Program & Management,Geographic Programs,Geographic Program: Chesapeake Bay,72800.7,,7300,,85000,-77700
2021,Environmental Program & Management,Geographic Programs,Geographic Program: Gulf of Mexico,17690.4,,0,,17553,-17553
2021,Environmental Program & Management,Geographic Programs,Geographic Program: Lake Champlain,10995,,0,,13390,-13390
2021,Environmental Program & Management,Geographic Programs,Geographic Program: Long Island Sound,14232.7,,0,,21000,-21000
2021,Environmental Program & Management,Geographic Programs,Geographic Program: Other,,,,,,
2021,Environmental Program & Management,Geographic Programs,Lake Pontchartrain,947,,0,,1089,-1089
2021,Environmental Program & Management,Geographic Programs,S.New England Estuary (SNEE),4842.8,,0,,5741,-5741
2021,Environmental Program & Management,Geographic Programs,Geographic Program: Other (other activities),1401.5,,0,,2736,-2736
2021,Environmental Program & Management,Geographic Programs,"Subtotal, Geographic Program: Other",7191.3,,0,,9566,-9566
2021,Environmental Program & Management,Geographic Programs,Great Lakes Restoration,292571,,320000,,320000,0
2021,Environmental Program & Management,Geographic Programs,Geographic Program: South Florida,1305.2,,3206,,4845,-1639
2021,Environmental Program & Management,Geographic Programs,Geographic Program: San Francisco Bay,8381.7,,0,,5922,-5922
2021,Environmental Program & Management,Geographic Programs,Geographic Program: Puget Sound,27936.8,,0,,33000,-33000
2021,Environmental Program & Management,Geographic Programs,"Subtotal, Geographic Programs",453104.8,,330506,,510276,-179770
2021,Environmental Program & Management,Homeland Security,Homeland Security: Communication and Information,4003.8,,3677,,3818,-141
2021,Environmental Program & Management,Homeland Security,Homeland Security: Critical Infrastructure Protection,444.4,,1361,,840,521
2021,Environmental Program & Management,Homeland Security,Homeland Security: Protection of EPA Personnel and Infrastructure,5755.6,,4986,,5355,-369
2021,Environmental Program & Management,Homeland Security,"Subtotal, Homeland Security",10203.8,,10024,,10013,11
2021,Environmental Program & Management,Information Exchange / Outreach,State and Local Prevention and Preparedness,12588,,10862,,13594,-2732
2021,Environmental Program & Management,Information Exchange / Outreach,TRI / Right to Know,12136.9,,8065,,12155,-4090
2021,Environmental Program & Management,Information Exchange / Outreach,Tribal - Capacity Building,13780,,14099,,13072,1027
2021,Environmental Program & Management,Information Exchange / Outreach,Executive Management and Operations,51243.2,,43784,,47259,-3475
2021,Environmental Program & Management,Information Exchange / Outreach,Environmental Education,8597.1,,0,,8580,-8580
2021,Environmental Program & Management,Information Exchange / Outreach,Exchange Network,17090.3,,12328,,15184,-2856
2021,Environmental Program & Management,Information Exchange / Outreach,Small Minority Business Assistance,1411.3,,1080,,987,93
2021,Environmental Program & Management,Information Exchange / Outreach,Small Business Ombudsman,1906.9,,1983,,1824,159
2021,Environmental Program & Management,Information Exchange / Outreach,Children and Other Sensitive Populations: Agency Coordination,5903.7,,2704,,6173,-3469
2021,Environmental Program & Management,Information Exchange / Outreach,"Subtotal, Information Exchange / Outreach",124657.4,,94905,,118828,-23923
2021,Environmental Program & Management,International Programs,US Mexico Border,3236,,0,,2693,-2693
2021,Environmental Program & Management,International Programs,International Sources of Pollution,7011.4,,10628,,6553,4075
2021,Environmental Program & Management,International Programs,Trade and Governance,5716.8,,0,,5365,-5365
2021,Environmental Program & Management,International Programs,"Subtotal, International Programs",15964.2,,10628,,14611,-3983
2021,Environmental Program & Management,IT / Data Management / Security,Information Security,7649.5,,14012,,7593,6419
2021,Environmental Program & Management,IT / Data Management / Security,IT / Data Management,78748.7,,79064,,80223,-1159
2021,Environmental Program & Management,IT / Data Management / Security,"Subtotal, IT / Data Management / Security",86398.2,,93076,,87816,5260
2021,Environmental Program & Management,Legal / Science / Regulatory / Economic Review,Integrated Environmental Strategies,10760.9,,14200,,10152,4048
2021,Environmental Program & Management,Legal / Science / Regulatory / Economic Review,Administrative Law,4527.9,,5104,,4835,269
2021,Environmental Program & Management,Legal / Science / Regulatory / Economic Review,Alternative Dispute Resolution,667.4,,0,,870,-870
2021,Environmental Program & Management,Legal / Science / Regulatory / Economic Review,Civil Rights Program,8972.5,,9780,,8814,966
2021,Environmental Program & Management,Legal / Science / Regulatory / Economic Review,Legal Advice: Environmental Program,51526.8,,50263,,47978,2285
2021,Environmental Program & Management,Legal / Science / Regulatory / Economic Review,Legal Advice: Support Program,14926,,18082,,14478,3604
2021,Environmental Program & Management,Legal / Science / Regulatory / Economic Review,Regional Science and Technology,1224.3,,0,,808,-808
2021,Environmental Program & Management,Legal / Science / Regulatory / Economic Review,Science Advisory Board,3154.5,,4031,,3214,817
2021,Environmental Program & Management,Legal / Science / Regulatory / Economic Review,Regulatory/Economic-Management and Analysis,12616.7,,17294,,13094,4200
2021,Environmental Program & Management,Legal / Science / Regulatory / Economic Review,"Subtotal, Legal / Science / Regulatory / Economic Review",108377,,118754,,104243,14511
2021,Environmental Program & Management,Operations and Administration,"Central Planning, Budgeting, and Finance",72920.6,,76603,,71423,5180
2021,Environmental Program & Management,Operations and Administration,Facilities Infrastructure and Operations,321500.4,,317345,,287595,29750
2021,Environmental Program & Management,Operations and Administration,Acquisition Management,33799.8,,29621,,30945,-1324
2021,Environmental Program & Management,Operations and Administration,Human Resources Management,43339.9,,44538,,41556,2982
2021,Environmental Program & Management,Operations and Administration,Financial Assistance Grants / IAG Management,23794.8,,21452,,23802,-2350
2021,Environmental Program & Management,Operations and Administration,"Subtotal, Operations and Administration",495355.5,,489559,,455321,34238
2021,Environmental Program & Management,Pesticides Licensing,Science Policy and Biotechnology,1823.4,,0,,1605,-1605
2021,Environmental Program & Management,Pesticides Licensing,Pesticides: Protect Human Health from Pesticide Risk,55368.2,,51268,,58753,-7485
2021,Environmental Program & Management,Pesticides Licensing,Pesticides: Protect the Environment from Pesticide Risk,39444.2,,32100,,38966,-6866
2021,Environmental Program & Management,Pesticides Licensing,Pesticides: Realize the Value of Pesticide Availability,7193.6,,6014,,7722,-1708
2021,Environmental Program & Management,Pesticides Licensing,"Subtotal, Pesticides Licensing",103829.4,,89382,,107046,-17664
2021,Environmental Program & Management,Research: Chemical Safety and Sustainability,Research: Chemical Safety and Sustainability,131.9,,0,,0,0
2021,Environmental Program & Management,Resource Conservation and Recovery Act (RCRA),RCRA: Corrective Action,34554,,35126,,36973,-1847
2021,Environmental Program & Management,Resource Conservation and Recovery Act (RCRA),RCRA: Waste Management,58728.3,,50399,,66819,-16420
2021,Environmental Program & Management,Resource Conservation and Recovery Act (RCRA),RCRA: Waste Minimization & Recycling,8840.2,,4253,,8997,-4744
2021,Environmental Program & Management,Resource Conservation and Recovery Act (RCRA),"Subtotal, Resource Conservation and Recovery Act (RCRA)",102122.5,,89778,,112789,-23011
2021,Environmental Program & Management,Toxics Risk Review and Prevention,Endocrine Disruptors,8178.1,,0,,7533,-7533
2021,Environmental Program & Management,Toxics Risk Review and Prevention,Pollution Prevention Program,11657.5,,0,,11127,-11127
2021,Environmental Program & Management,Toxics Risk Review and Prevention,Toxic Substances: Chemical Risk Review and Reduction,64241.5,,69004,,60488,8516
2021,Environmental Program & Management,Toxics Risk Review and Prevention,Toxic Substances: Lead Risk Reduction Program,11663,,0,,11567,-11567
2021,Environmental Program & Management,Toxics Risk Review and Prevention,"Subtotal, Toxics Risk Review and Prevention",95740.1,,69004,,90715,-21711
2021,Environmental Program & Management,Underground Storage Tanks (LUST / UST),LUST / UST,11089.8,,6863,,10750,-3887
2021,Environmental Program & Management,Water: Ecosystems,National Estuary Program / Coastal Waterways,26425.7,,0,,29823,-29823
2021,Environmental Program & Management,Water: Ecosystems,Wetlands,17234.9,,22604,,19241,3363
2021,Environmental Program & Management,Water: Ecosystems,"Subtotal, Water: Ecosystems",43660.6,,22604,,49064,-26460
2021,Environmental Program & Management,Water: Human Health Protection,Beach / Fish Programs,1490.8,,0,,1584,-1584
2021,Environmental Program & Management,Water: Human Health Protection,Drinking Water Programs,92373.1,,97462,,100903,-3441
2021,Environmental Program & Management,Water: Human Health Protection,"Subtotal, Water: Human Health Protection",93863.9,,97462,,102487,-5025
2021,Environmental Program & Management,Water Quality Protection,Marine Pollution,9349.3,,4680,,9258,-4578
2021,Environmental Program & Management,Water Quality Protection,Surface Water Protection,196146.1,,201799,,198431,3368
2021,Environmental Program & Management,Water Quality Protection,"Subtotal, Water Quality Protection",205495.4,,206479,,207689,-1210
2021,Environmental Program & Management,Congressional Priorities,Water Quality Research and Support Grants,0,,0,,17700,-17700
2021,Environmental Program & Management,Congressional Priorities,"Subtotal, Congressional Priorities",0,,0,,17700,-17700
2021,Environmental Program & Management,,"Total, Environmental Program & Management",2596472.2,,2236224,,2663356,-427132
2021,Inspector General,"Audits, Evaluations, and Investigations","Audits, Evaluations, and Investigations",39929.8,,39825,,41489,-1664
2021,Inspector General,,"Total, Inspector General",39929.8,,39825,,41489,-1664
2021,Building and Facilities,Homeland Security,Homeland Security: Protection of EPA Personnel and Infrastructure,4259.1,,6176,,6676,-500
2021,Building and Facilities,Operations and Administration,Facilities Infrastructure and Operations,23017.8,,33377,,26922,6455
2021,Building and Facilities,,"Total, Building and Facilities",27276.9,,39553,,33598,5955
2021,Hazardous Substance Superfund,Indoor Air and Radiation,Radiation: Protection,1768.6,,2122,,1985,137
2021,Hazardous Substance Superfund,"Audits, Evaluations, and Investigations","Audits, Evaluations, and Investigations",8875.9,,9747,,11586,-1839
2021,Hazardous Substance Superfund,Compliance,Compliance Monitoring,1313.8,,1004,,995,9
2021,Hazardous Substance Superfund,Enforcement,Criminal Enforcement,7492.9,,8479,,7645,834
2021,Hazardous Substance Superfund,Enforcement,Environmental Justice,662.2,,0,,633,-633
2021,Hazardous Substance Superfund,Enforcement,Forensics Support,1402.3,,1312,,1145,167
2021,Hazardous Substance Superfund,Enforcement,Superfund: Enforcement,135626.7,,162504,,152591,9913
