,Year,Program Area,Program Project,Sub-Program Project,Actuals,Annualized_CR,PresBud,PresBud_vs_Annualized_CR,Enacted,PresBud_vs_Enacted
4,2021,Science & Technology,Clean Air,"Subtotal, Clean Air",119546600.0,,90383000.0,,116064000.0,-25681000.0
9,2021,Science & Technology,Indoor Air and Radiation,"Subtotal, Indoor Air and Radiation",5573100.0,,5214000.0,,5149000.0,65000.0
10,2021,Science & Technology,Enforcement,Forensics Support,11534700.0,,11723000.0,,13592000.0,-1869000.0
14,2021,Science & Technology,Homeland Security,"Subtotal, Homeland Security",28860200.0,,33774000.0,,33089000.0,685000.0
15,2021,Science & Technology,IT / Data Management / Security,IT / Data Management,3092600.0,,2890000.0,,3072000.0,-182000.0
16,2021,Science & Technology,Operations and Administration,Facilities Infrastructure and Operations,67856900.0,,67908000.0,,65372000.0,2536000.0
20,2021,Science & Technology,Pesticides Licensing,"Subtotal, Pesticides Licensing",5868900.0,,5743000.0,,5886000.0,-143000.0
21,2021,Science & Technology,Research: Air and Energy,Research: Air and Energy,85895800.0,,33543000.0,,94496000.0,-60953000.0
22,2021,Science & Technology,Research: Safe and Sustainable Water Resources,Research: Safe and Sustainable Water Resources,100123700.0,,78948000.0,,110890000.0,-31942000.0
23,2021,Science & Technology,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,135083100.0,,58597000.0,,132477000.0,-73880000.0
30,2021,Science & Technology,Research: Chemical Safety and Sustainability,"Subtotal, Research: Chemical Safety and Sustainability",124307900.0,,91646000.0,,126268000.0,-34622000.0
31,2021,Science & Technology,Water: Human Health Protection,Drinking Water Programs,3227600.0,,4364000.0,,4094000.0,270000.0
33,2021,Science & Technology,Congressional Priorities,"Subtotal, Congressional Priorities",4092000.0,,0.0,,6000000.0,-6000000.0
41,2021,Environmental Program & Management,Clean Air,"Subtotal, Clean Air",271467700.0,,163802000.0,,273108000.0,-109306000.0
46,2021,Environmental Program & Management,Indoor Air and Radiation,"Subtotal, Indoor Air and Radiation",26532800.0,,4820000.0,,24951000.0,-20131000.0
47,2021,Environmental Program & Management,Brownfields,Brownfields,22939300.0,,17816000.0,,23647000.0,-5831000.0
48,2021,Environmental Program & Management,Compliance,Compliance Monitoring,100132800.0,,95649000.0,,101665000.0,-6016000.0
53,2021,Environmental Program & Management,Enforcement,"Subtotal, Enforcement",225405100.0,,225113000.0,,240637000.0,-15524000.0
67,2021,Environmental Program & Management,Geographic Programs,"Subtotal, Geographic Programs",453104800.0,,330506000.0,,510276000.0,-179770000.0
71,2021,Environmental Program & Management,Homeland Security,"Subtotal, Homeland Security",10203800.0,,10024000.0,,10013000.0,11000.0
81,2021,Environmental Program & Management,Information Exchange / Outreach,"Subtotal, Information Exchange / Outreach",124657400.0,,94905000.0,,118828000.0,-23923000.0
85,2021,Environmental Program & Management,International Programs,"Subtotal, International Programs",15964200.0,,10628000.0,,14611000.0,-3983000.0
88,2021,Environmental Program & Management,IT / Data Management / Security,"Subtotal, IT / Data Management / Security",86398200.0,,93076000.0,,87816000.0,5260000.0
98,2021,Environmental Program & Management,Legal / Science / Regulatory / Economic Review,"Subtotal, Legal / Science / Regulatory / Economic Review",108377000.0,,118754000.0,,104243000.0,14511000.0
104,2021,Environmental Program & Management,Operations and Administration,"Subtotal, Operations and Administration",495355500.0,,489559000.0,,455321000.0,34238000.0
109,2021,Environmental Program & Management,Pesticides Licensing,"Subtotal, Pesticides Licensing",103829400.0,,89382000.0,,107046000.0,-17664000.0
110,2021,Environmental Program & Management,Research: Chemical Safety and Sustainability,Research: Chemical Safety and Sustainability,131900.0,,0.0,,0.0,0.0
114,2021,Environmental Program & Management,Resource Conservation and Recovery Act (RCRA),"Subtotal, Resource Conservation and Recovery Act (RCRA)",102122500.0,,89778000.0,,112789000.0,-23011000.0
119,2021,Environmental Program & Management,Toxics Risk Review and Prevention,"Subtotal, Toxics Risk Review and Prevention",95740100.0,,69004000.0,,90715000.0,-21711000.0
120,2021,Environmental Program & Management,Underground Storage Tanks (LUST / UST),LUST / UST,11089800.0,,6863000.0,,10750000.0,-3887000.0
123,2021,Environmental Program & Management,Water: Ecosystems,"Subtotal, Water: Ecosystems",43660600.0,,22604000.0,,49064000.0,-26460000.0
126,2021,Environmental Program & Management,Water: Human Health Protection,"Subtotal, Water: Human Health Protection",93863900.0,,97462000.0,,102487000.0,-5025000.0
129,2021,Environmental Program & Management,Water Quality Protection,"Subtotal, Water Quality Protection",205495400.0,,206479000.0,,207689000.0,-1210000.0
131,2021,Environmental Program & Management,Congressional Priorities,"Subtotal, Congressional Priorities",0.0,,0.0,,17700000.0,-17700000.0
133,2021,Inspector General,"Audits, Evaluations, and Investigations","Audits, Evaluations, and Investigations",39929800.0,,39825000.0,,41489000.0,-1664000.0
135,2021,Building and Facilities,Homeland Security,Homeland Security: Protection of EPA Personnel and Infrastructure,4259100.0,,6176000.0,,6676000.0,-500000.0
136,2021,Building and Facilities,Operations and Administration,Facilities Infrastructure and Operations,23017800.0,,33377000.0,,26922000.0,6455000.0
138,2021,Hazardous Substance Superfund,Indoor Air and Radiation,Radiation: Protection,1768600.0,,2122000.0,,1985000.0,137000.0
139,2021,Hazardous Substance Superfund,"Audits, Evaluations, and Investigations","Audits, Evaluations, and Investigations",8875900.0,,9747000.0,,11586000.0,-1839000.0
140,2021,Hazardous Substance Superfund,Compliance,Compliance Monitoring,1313800.0,,1004000.0,,995000.0,9000.0
146,2021,Hazardous Substance Superfund,Enforcement,"Subtotal, Enforcement",151231000.0,,179625000.0,,168375000.0,11250000.0
